owner_name,first_name,patronymic,last_name,declaration_year,office,position,url
Кузнєцова Наталя Григорівна,Володимир,Васильович,Свистунов,2018,Управління соціального захисту населення Роздільнянської районної державної адміністрації Одеської області,головний соціальний інспектор,https://declarations.com.ua/declaration/nacp_a85da3c9-5ddc-45fc-a745-4960ac3721d5
Кузнєцова Наталя Григорівна,Володимир,Васильович,Свистунов,2018,Южненське управління ГУ ДФС в Одеській області,головний державний інспектор відділу податків і зборів з юридичних осіб,https://declarations.com.ua/declaration/nacp_3bebcc3a-8ce8-40a5-91bf-9864a1e679a0
Кузнєцова Наталя Григорівна,Володимир,Васильович,Свистунов,2018,Южненське управління ГУ ДФС в Одеській області,головний державний інспектор відділу податків і зборів з юридичних осіб,https://declarations.com.ua/declaration/nacp_02c5ebbe-124a-4e42-ae5b-3c2fad911d51
Кузнєцова Наталя Григорівна,Володимир,Васильович,Свистунов,2018,Роздільнянське об'єднане управління Пенсійного фонду Україниі Одеської області,головний спеціаліст Роздільнянського відділу обслуговування громадян,https://declarations.com.ua/declaration/nacp_1333eb2c-f40d-4ed3-aa39-e09532d11489
Кузнєцова Наталя Григорівна,Володимир,Васильович,Свистунов,2019,ОДЕСЬКА МИТНИЦЯ ДЕРЖМИТСЛУЖБИ,Старший державний інспектор відділу митного оформлення №3 митного поста « Кучурган» Одеської митниці Держмитслужби,https://declarations.com.ua/declaration/nacp_138dbe50-4b07-4eff-b76b-00684becbb7f
Криштоп Олександр Олександрович,Андрій,Ігорович,Донець,2018,управління захисту економіки в миколаївській області,начальник відділу,https://declarations.com.ua/declaration/nacp_dfa58a19-eb0a-4fad-97ab-cdb0c3e13c5c
Кузнєцов Олександр Дмитрович,Ірина,Олександрівна,Чурічканіч,2018,"виробничий структурний підрозділ ""Ужгородська дистанція колії"" РФ ""Львівська залізниця"" АТ ""Українська залізниця""",заступник начальника,https://declarations.com.ua/declaration/nacp_e6eb275d-4bac-44af-a701-e94f451cccb6
Кузнєцов Олександр Дмитрович,Ірина,Олександрівна,Чурічканіч,2018,"виробничий структурний підрозділ ""Ужгородська дистанція колії"" РФ ""Львівська залізниця"" АТ ""Українська залізниця""",заступник начальника,https://declarations.com.ua/declaration/nacp_e6eb275d-4bac-44af-a701-e94f451cccb6
Шевчук Світлана Євгенівна,Світлана,Володимирівна,Шибаєва,2019,Головне управління Держпродспоживслужби у Вінницькій області,лікар загальної гігієни відділу державного нагляду за дотриманням санітарного законодавства Калинівського районного управління ГУ Держпродспоживслужби у Вінницькій області,https://declarations.com.ua/declaration/nacp_d2300878-ebe4-4db9-87cb-038edaff325a
Шевчук Світлана Євгенівна,Світлана,Сергіївна,Чайка,2018,"КП ""Фармація""",Завідувач аптечним пунктом №2 аптеки 79,https://declarations.com.ua/declaration/nacp_751c5c2c-6cd2-46f8-acd6-ab8aca6d9483
Шевчук Світлана Євгенівна,Світлана,Сергіївна,Чайка,2019,Комунальне підприємство Фармація,Завідувач аптечним пунктом №2 - провізор аптеки 79,https://declarations.com.ua/declaration/nacp_7a5b9321-c863-42a4-9232-9d7a4b1e8f26
Шевчук Світлана Євгенівна,Олександр,Сергійович,Шевчук,2019,Житомирська міська рада,Заступник міського голови,https://declarations.com.ua/declaration/nacp_ce9bca11-3eb7-4674-ad3c-7d0ad84f297c
Шевчук Світлана Євгенівна,Олександр,Сергійович,Шевчук,2019,"КП ""Управління автомобільних шляхів"" ЖМР",Начальник,https://declarations.com.ua/declaration/nacp_ee838eae-a686-430f-ac5a-9e9b20abb349
Шевчук Світлана Євгенівна,Олександр,Сергійович,Шевчук,2018,Житомирська міська рада,Заступник міського голови,https://declarations.com.ua/declaration/nacp_3e9ddef2-24de-40b7-a129-60934e4d2b0f
Шевчук Світлана Євгенівна,Наталія,Валеріївна,Кукурік,2019,Регіональний центр з надання безоплатної вторинної правової допомоги у Волинській області,начальник відділу організації надання безоплатної вторинної правової допомоги,https://declarations.com.ua/declaration/nacp_223d4d70-0dce-41f3-9a89-2038b79721da
Шевчук Світлана Євгенівна,Віталій,Анатолійович,Бурячок,2019,Новомиколаївська сільська рада,Депутат ,https://declarations.com.ua/declaration/nacp_d690b5e9-c524-4fdc-9ab7-686be0608430
Шевчук Світлана Євгенівна,Віталій,Анатолійович,Бурячок,2019,Новомиколаївська сільська рада,Депутат ,https://declarations.com.ua/declaration/nacp_259eb692-38d2-4ea6-8273-54f5f11eb529
Шевчук Світлана Євгенівна,Артем,Андрійович,Боруш,2018,3 Державний пожежно-рятувальний загін Головного управління ДСНС України у Донецькій області,"старший інспектор відділення контролю за застосуванням санкцій, обліку пожеж та надзвичайних ситуацій",https://declarations.com.ua/declaration/nacp_36eb402d-92a0-4451-b51b-3409107a208f
Шевчук Світлана Євгенівна,Саргіс,Айкарамович,Арутюнян,2019,"Фізична особа-підприємець Арутюнян Саргіс Айкарамович, депутат Балаклійської районної ради",не застосовується,https://declarations.com.ua/declaration/nacp_df3c7018-da6a-4a9a-bb30-08f50c83a8d7
Шевчук Світлана Євгенівна,Саргіс,Айкарамович,Арутюнян,2018,Фізична особа-підприємець Арутюнян Саргіс Айкарамович; депутат Балаклійської районної ради,не застосовується,https://declarations.com.ua/declaration/nacp_3a4904af-7b9c-4605-8150-ca56583fbc88
